File,WaveData20070101_015.csv,
Date/Time,07-01-01/01:11,

Trace,A
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm
Trace,B
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm
Trace,C
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm
Trace,D
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm
Trace,E
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm
Trace,F
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm
Trace,G
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm
Trace,H
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm
Trace,I
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm
Trace,J
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm

Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E),Wavelength(F),Level(F),Wavelength(G),Level(G),Wavelength(H),Level(H),Wavelength(I),Level(I),Wavelength(J),Level(J)
1520.050000,7.7330E-010,1520.050000,7.7330E-010,1520.050000,7.7330E-010,1520.050000,7.7330E-010,1520.050000,7.7330E-010,1520.050000,7.7330E-010,1520.050000,7.7330E-010,1520.050000,7.7330E-010,1520.050000,7.7330E-010,1520.050000,7.7330E-010
1520.210000,5.8040E-009,1520.210000,5.8040E-009,1520.210000,5.8040E-009,1520.210000,5.8040E-009,1520.210000,5.8040E-009,1520.210000,5.8040E-009,1520.210000,5.8040E-009,1520.210000,5.8040E-009,1520.210000,5.8040E-009,1520.210000,5.8040E-009
1520.370000,-8.9210E-009,1520.370000,-8.9210E-009,1520.370000,-8.9210E-009,1520.370000,-8.9210E-009,1520.370000,-8.9210E-009,1520.370000,-8.9210E-009,1520.370000,-8.9210E-009,1520.370000,-8.9210E-009,1520.370000,-8.9210E-009,1520.370000,-8.9210E-009
1520.530000,-6.0560E-009,1520.530000,-6.0560E-009,1520.530000,-6.0560E-009,1520.530000,-6.0560E-009,1520.530000,-6.0560E-009,1520.530000,-6.0560E-009,1520.530000,-6.0560E-009,1520.530000,-6.0560E-009,1520.530000,-6.0560E-009,1520.530000,-6.0560E-009
1520.690000,6.9820E-009,1520.690000,6.9820E-009,1520.690000,6.9820E-009,1520.690000,6.9820E-009,1520.690000,6.9820E-009,1520.690000,6.9820E-009,1520.690000,6.9820E-009,1520.690000,6.9820E-009,1520.690000,6.9820E-009,1520.690000,6.9820E-009
1520.850000,-1.5240E-009,1520.850000,-1.5240E-009,1520.850000,-1.5240E-009,1520.850000,-1.5240E-009,1520.850000,-1.5240E-009,1520.850000,-1.5240E-009,1520.850000,-1.5240E-009,1520.850000,-1.5240E-009,1520.850000,-1.5240E-009,1520.850000,-1.5240E-009
1521.010000,-4.8140E-009,1521.010000,-4.8140E-009,1521.010000,-4.8140E-009,1521.010000,-4.8140E-009,1521.010000,-4.8140E-009,1521.010000,-4.8140E-009,1521.010000,-4.8140E-009,1521.010000,-4.8140E-009,1521.010000,-4.8140E-009,1521.010000,-4.8140E-009
1521.170000,4.9360E-009,1521.170000,4.9360E-009,1521.170000,4.9360E-009,1521.170000,4.9360E-009,1521.170000,4.9360E-009,1521.170000,4.9360E-009,1521.170000,4.9360E-009,1521.170000,4.9360E-009,1521.170000,4.9360E-009,1521.170000,4.9360E-009
1521.330000,-9.5990E-009,1521.330000,-9.5990E-009,1521.330000,-9.5990E-009,1521.330000,-9.5990E-009,1521.330000,-9.5990E-009,1521.330000,-9.5990E-009,1521.330000,-9.5990E-009,1521.330000,-9.5990E-009,1521.330000,-9.5990E-009,1521.330000,-9.5990E-009
1521.490000,2.7780E-009,1521.490000,2.7780E-009,1521.490000,2.7780E-009,1521.490000,2.7780E-009,1521.490000,2.7780E-009,1521.490000,2.7780E-009,1521.490000,2.7780E-009,1521.490000,2.7780E-009,1521.490000,2.7780E-009,1521.490000,2.7780E-009
1521.650000,-1.5460E-009,1521.650000,-1.5460E-009,1521.650000,-1.5460E-009,1521.650000,-1.5460E-009,1521.650000,-1.5460E-009,1521.650000,-1.5460E-009,1521.650000,-1.5460E-009,1521.650000,-1.5460E-009,1521.650000,-1.5460E-009,1521.650000,-1.5460E-009
1521.810000,-7.2140E-009,1521.810000,-7.2140E-009,1521.810000,-7.2140E-009,1521.810000,-7.2140E-009,1521.810000,-7.2140E-009,1521.810000,-7.2140E-009,1521.810000,-7.2140E-009,1521.810000,-7.2140E-009,1521.810000,-7.2140E-009,1521.810000,-7.2140E-009
1521.970000,-4.2060E-009,1521.970000,-4.2060E-009,1521.970000,-4.2060E-009,1521.970000,-4.2060E-009,1521.970000,-4.2060E-009,1521.970000,-4.2060E-009,1521.970000,-4.2060E-009,1521.970000,-4.2060E-009,1521.970000,-4.2060E-009,1521.970000,-4.2060E-009
1522.130000,-1.2950E-008,1522.130000,-1.2950E-008,1522.130000,-1.2950E-008,1522.130000,-1.2950E-008,1522.130000,-1.2950E-008,1522.130000,-1.2950E-008,1522.130000,-1.2950E-008,1522.130000,-1.2950E-008,1522.130000,-1.2950E-008,1522.130000,-1.2950E-008
1522.290000,-9.4240E-009,1522.290000,-9.4240E-009,1522.290000,-9.4240E-009,1522.290000,-9.4240E-009,1522.290000,-9.4240E-009,1522.290000,-9.4240E-009,1522.290000,-9.4240E-009,1522.290000,-9.4240E-009,1522.290000,-9.4240E-009,1522.290000,-9.4240E-009
1522.450000,2.7000E-009,1522.450000,2.7000E-009,1522.450000,2.7000E-009,1522.450000,2.7000E-009,1522.450000,2.7000E-009,1522.450000,2.7000E-009,1522.450000,2.7000E-009,1522.450000,2.7000E-009,1522.450000,2.7000E-009,1522.450000,2.7000E-009
1522.610000,-5.7490E-009,1522.610000,-5.7490E-009,1522.610000,-5.7490E-009,1522.610000,-5.7490E-009,1522.610000,-5.7490E-009,1522.610000,-5.7490E-009,1522.610000,-5.7490E-009,1522.610000,-5.7490E-009,1522.610000,-5.7490E-009,1522.610000,-5.7490E-009
1522.770000,-7.6210E-009,1522.770000,-7.6210E-009,1522.770000,-7.6210E-009,1522.770000,-7.6210E-009,1522.770000,-7.6210E-009,1522.770000,-7.6210E-009,1522.770000,-7.6210E-009,1522.770000,-7.6210E-009,1522.770000,-7.6210E-009,1522.770000,-7.6210E-009
1522.930000,-1.5050E-008,1522.930000,-1.5050E-008,1522.930000,-1.5050E-008,1522.930000,-1.5050E-008,1522.930000,-1.5050E-008,1522.930000,-1.5050E-008,1522.930000,-1.5050E-008,1522.930000,-1.5050E-008,1522.930000,-1.5050E-008,1522.930000,-1.5050E-008
1523.090000,5.0930E-009,1523.090000,5.0930E-009,1523.090000,5.0930E-009,1523.090000,5.0930E-009,1523.090000,5.0930E-009,1523.090000,5.0930E-009,1523.090000,5.0930E-009,1523.090000,5.0930E-009,1523.090000,5.0930E-009,1523.090000,5.0930E-009
1523.250000,4.2420E-009,1523.250000,4.2420E-009,1523.250000,4.2420E-009,1523.250000,4.2420E-009,1523.250000,4.2420E-009,1523.250000,4.2420E-009,1523.250000,4.2420E-009,1523.250000,4.2420E-009,1523.250000,4.2420E-009,1523.250000,4.2420E-009
1523.410000,3.6100E-009,1523.410000,3.6100E-009,1523.410000,3.6100E-009,1523.410000,3.6100E-009,1523.410000,3.6100E-009,1523.410000,3.6100E-009,1523.410000,3.6100E-009,1523.410000,3.6100E-009,1523.410000,3.6100E-009,1523.410000,3.6100E-009
1523.570000,6.5360E-009,1523.570000,6.5360E-009,1523.570000,6.5360E-009,1523.570000,6.5360E-009,1523.570000,6.5360E-009,1523.570000,6.5360E-009,1523.570000,6.5360E-009,1523.570000,6.5360E-009,1523.570000,6.5360E-009,1523.570000,6.5360E-009
1523.730000,-1.4970E-008,1523.730000,-1.4970E-008,1523.730000,-1.4970E-008,1523.730000,-1.4970E-008,1523.730000,-1.4970E-008,1523.730000,-1.4970E-008,1523.730000,-1.4970E-008,1523.730000,-1.4970E-008,1523.730000,-1.4970E-008,1523.730000,-1.4970E-008
1523.890000,5.6200E-009,1523.890000,5.6200E-009,1523.890000,5.6200E-009,1523.890000,5.6200E-009,1523.890000,5.6200E-009,1523.890000,5.6200E-009,1523.890000,5.6200E-009,1523.890000,5.6200E-009,1523.890000,5.6200E-009,1523.890000,5.6200E-009
1524.050000,1.5640E-009,1524.050000,1.5640E-009,1524.050000,1.5640E-009,1524.050000,1.5640E-009,1524.050000,1.5640E-009,1524.050000,1.5640E-009,1524.050000,1.5640E-009,1524.050000,1.5640E-009,1524.050000,1.5640E-009,1524.050000,1.5640E-009
1524.210000,4.5410E-009,1524.210000,4.5410E-009,1524.210000,4.5410E-009,1524.210000,4.5410E-009,1524.210000,4.5410E-009,1524.210000,4.5410E-009,1524.210000,4.5410E-009,1524.210000,4.5410E-009,1524.210000,4.5410E-009,1524.210000,4.5410E-009
1524.370000,-1.3050E-008,1524.370000,-1.3050E-008,1524.370000,-1.3050E-008,1524.370000,-1.3050E-008,1524.370000,-1.3050E-008,1524.370000,-1.3050E-008,1524.370000,-1.3050E-008,1524.370000,-1.3050E-008,1524.370000,-1.3050E-008,1524.370000,-1.3050E-008
1524.530000,-1.9540E-009,1524.530000,-1.9540E-009,1524.530000,-1.9540E-009,1524.530000,-1.9540E-009,1524.530000,-1.9540E-009,1524.530000,-1.9540E-009,1524.530000,-1.9540E-009,1524.530000,-1.9540E-009,1524.530000,-1.9540E-009,1524.530000,-1.9540E-009
1524.690000,-2.2380E-008,1524.690000,-2.2380E-008,1524.690000,-2.2380E-008,1524.690000,-2.2380E-008,1524.690000,-2.2380E-008,1524.690000,-2.2380E-008,1524.690000,-2.2380E-008,1524.690000,-2.2380E-008,1524.690000,-2.2380E-008,1524.690000,-2.2380E-008
1524.850000,-3.2890E-009,1524.850000,-3.2890E-009,1524.850000,-3.2890E-009,1524.850000,-3.2890E-009,1524.850000,-3.2890E-009,1524.850000,-3.2890E-009,1524.850000,-3.2890E-009,1524.850000,-3.2890E-009,1524.850000,-3.2890E-009,1524.850000,-3.2890E-009
1525.010000,-1.2890E-008,1525.010000,-1.2890E-008,1525.010000,-1.2890E-008,1525.010000,-1.2890E-008,1525.010000,-1.2890E-008,1525.010000,-1.2890E-008,1525.010000,-1.2890E-008,1525.010000,-1.2890E-008,1525.010000,-1.2890E-008,1525.010000,-1.2890E-008
1525.170000,1.0850E-011,1525.170000,1.0850E-011,1525.170000,1.0850E-011,1525.170000,1.0850E-011,1525.170000,1.0850E-011,1525.170000,1.0850E-011,1525.170000,1.0850E-011,1525.170000,1.0850E-011,1525.170000,1.0850E-011,1525.170000,1.0850E-011
1525.330000,3.3840E-009,1525.330000,3.3840E-009,1525.330000,3.3840E-009,1525.330000,3.3840E-009,1525.330000,3.3840E-009,1525.330000,3.3840E-009,1525.330000,3.3840E-009,1525.330000,3.3840E-009,1525.330000,3.3840E-009,1525.330000,3.3840E-009
1525.490000,2.9270E-009,1525.490000,2.9270E-009,1525.490000,2.9270E-009,1525.490000,2.9270E-009,1525.490000,2.9270E-009,1525.490000,2.9270E-009,1525.490000,2.9270E-009,1525.490000,2.9270E-009,1525.490000,2.9270E-009,1525.490000,2.9270E-009
1525.650000,-2.4960E-008,1525.650000,-2.4960E-008,1525.650000,-2.4960E-008,1525.650000,-2.4960E-008,1525.650000,-2.4960E-008,1525.650000,-2.4960E-008,1525.650000,-2.4960E-008,1525.650000,-2.4960E-008,1525.650000,-2.4960E-008,1525.650000,-2.4960E-008
1525.810000,-2.3190E-009,1525.810000,-2.3190E-009,1525.810000,-2.3190E-009,1525.810000,-2.3190E-009,1525.810000,-2.3190E-009,1525.810000,-2.3190E-009,1525.810000,-2.3190E-009,1525.810000,-2.3190E-009,1525.810000,-2.3190E-009,1525.810000,-2.3190E-009
1525.970000,-3.0880E-009,1525.970000,-3.0880E-009,1525.970000,-3.0880E-009,1525.970000,-3.0880E-009,1525.970000,-3.0880E-009,1525.970000,-3.0880E-009,1525.970000,-3.0880E-009,1525.970000,-3.0880E-009,1525.970000,-3.0880E-009,1525.970000,-3.0880E-009
1526.130000,4.5420E-009,1526.130000,4.5420E-009,1526.130000,4.5420E-009,1526.130000,4.5420E-009,1526.130000,4.5420E-009,1526.130000,4.5420E-009,1526.130000,4.5420E-009,1526.130000,4.5420E-009,1526.130000,4.5420E-009,1526.130000,4.5420E-009
