File,WaveData20070101_031.csv,

Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E),Wavelength(F),Level(F),Wavelength(G),Level(G),Wavelength(H),Level(H),Wavelength(I),Level(I),Wavelength(J),Level(J)
1520.050000,-1.8620E-009,1520.050000,-1.8620E-009,1520.050000,-1.8620E-009,1520.050000,-1.8620E-009,1520.050000,-1.8620E-009,1520.050000,-1.8620E-009,1520.050000,-1.8620E-009,1520.050000,-1.8620E-009,1520.050000,-1.8620E-009,1520.050000,-1.8620E-009
1520.210000,1.4370E-009,1520.210000,1.4370E-009,1520.210000,1.4370E-009,1520.210000,1.4370E-009,1520.210000,1.4370E-009,1520.210000,1.4370E-009,1520.210000,1.4370E-009,1520.210000,1.4370E-009,1520.210000,1.4370E-009,1520.210000,1.4370E-009
1520.370000,-9.7700E-009,1520.370000,-9.7700E-009,1520.370000,-9.7700E-009,1520.370000,-9.7700E-009,1520.370000,-9.7700E-009,1520.370000,-9.7700E-009,1520.370000,-9.7700E-009,1520.370000,-9.7700E-009,1520.370000,-9.7700E-009,1520.370000,-9.7700E-009
1520.530000,-1.1020E-008,1520.530000,-1.1020E-008,1520.530000,-1.1020E-008,1520.530000,-1.1020E-008,1520.530000,-1.1020E-008,1520.530000,-1.1020E-008,1520.530000,-1.1020E-008,1520.530000,-1.1020E-008,1520.530000,-1.1020E-008,1520.530000,-1.1020E-008
1520.690000,2.7880E-009,1520.690000,2.7880E-009,1520.690000,2.7880E-009,1520.690000,2.7880E-009,1520.690000,2.7880E-009,1520.690000,2.7880E-009,1520.690000,2.7880E-009,1520.690000,2.7880E-009,1520.690000,2.7880E-009,1520.690000,2.7880E-009
1520.850000,-6.9930E-009,1520.850000,-6.9930E-009,1520.850000,-6.9930E-009,1520.850000,-6.9930E-009,1520.850000,-6.9930E-009,1520.850000,-6.9930E-009,1520.850000,-6.9930E-009,1520.850000,-6.9930E-009,1520.850000,-6.9930E-009,1520.850000,-6.9930E-009
1521.010000,-3.6270E-009,1521.010000,-3.6270E-009,1521.010000,-3.6270E-009,1521.010000,-3.6270E-009,1521.010000,-3.6270E-009,1521.010000,-3.6270E-009,1521.010000,-3.6270E-009,1521.010000,-3.6270E-009,1521.010000,-3.6270E-009,1521.010000,-3.6270E-009
1521.170000,-1.9170E-008,1521.170000,-1.9170E-008,1521.170000,-1.9170E-008,1521.170000,-1.9170E-008,1521.170000,-1.9170E-008,1521.170000,-1.9170E-008,1521.170000,-1.9170E-008,1521.170000,-1.9170E-008,1521.170000,-1.9170E-008,1521.170000,-1.9170E-008
