File,WaveData20070101_016.csv,
Date/Time,07-01-01/01:11,

Trace,A
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm
Trace,B
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm
Trace,C
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm
Trace,D
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm
Trace,E
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm
Trace,F
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm
Trace,G
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm
Trace,H
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm
Trace,I
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm
Trace,J
Center Wavelength,1560.05,nm
Span Wavelength,80,nm
Start Wavelength,1520.05,nm
Stop Wavelength,1600.05,nm
Value In Air/Vacuum,Air,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1520.05,nm
Stop,1600.05,nm

Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E),Wavelength(F),Level(F),Wavelength(G),Level(G),Wavelength(H),Level(H),Wavelength(I),Level(I),Wavelength(J),Level(J)
1520.050000,-2.0030E-008,1520.050000,-2.0030E-008,1520.050000,-2.0030E-008,1520.050000,-2.0030E-008,1520.050000,-2.0030E-008,1520.050000,-2.0030E-008,1520.050000,-2.0030E-008,1520.050000,-2.0030E-008,1520.050000,-2.0030E-008,1520.050000,-2.0030E-008
1520.210000,3.1030E-009,1520.210000,3.1030E-009,1520.210000,3.1030E-009,1520.210000,3.1030E-009,1520.210000,3.1030E-009,1520.210000,3.1030E-009,1520.210000,3.1030E-009,1520.210000,3.1030E-009,1520.210000,3.1030E-009,1520.210000,3.1030E-009
1520.370000,4.1380E-009,1520.370000,4.1380E-009,1520.370000,4.1380E-009,1520.370000,4.1380E-009,1520.370000,4.1380E-009,1520.370000,4.1380E-009,1520.370000,4.1380E-009,1520.370000,4.1380E-009,1520.370000,4.1380E-009,1520.370000,4.1380E-009
1520.530000,-1.2830E-008,1520.530000,-1.2830E-008,1520.530000,-1.2830E-008,1520.530000,-1.2830E-008,1520.530000,-1.2830E-008,1520.530000,-1.2830E-008,1520.530000,-1.2830E-008,1520.530000,-1.2830E-008,1520.530000,-1.2830E-008,1520.530000,-1.2830E-008
1520.690000,-2.9840E-009,1520.690000,-2.9840E-009,1520.690000,-2.9840E-009,1520.690000,-2.9840E-009,1520.690000,-2.9840E-009,1520.690000,-2.9840E-009,1520.690000,-2.9840E-009,1520.690000,-2.9840E-009,1520.690000,-2.9840E-009,1520.690000,-2.9840E-009
1520.850000,-2.3260E-008,1520.850000,-2.3260E-008,1520.850000,-2.3260E-008,1520.850000,-2.3260E-008,1520.850000,-2.3260E-008,1520.850000,-2.3260E-008,1520.850000,-2.3260E-008,1520.850000,-2.3260E-008,1520.850000,-2.3260E-008,1520.850000,-2.3260E-008
1521.010000,-1.9900E-008,1521.010000,-1.9900E-008,1521.010000,-1.9900E-008,1521.010000,-1.9900E-008,1521.010000,-1.9900E-008,1521.010000,-1.9900E-008,1521.010000,-1.9900E-008,1521.010000,-1.9900E-008,1521.010000,-1.9900E-008,1521.010000,-1.9900E-008
1521.170000,-1.6220E-009,1521.170000,-1.6220E-009,1521.170000,-1.6220E-009,1521.170000,-1.6220E-009,1521.170000,-1.6220E-009,1521.170000,-1.6220E-009,1521.170000,-1.6220E-009,1521.170000,-1.6220E-009,1521.170000,-1.6220E-009,1521.170000,-1.6220E-009
1521.330000,-8.8690E-009,1521.330000,-8.8690E-009,1521.330000,-8.8690E-009,1521.330000,-8.8690E-009,1521.330000,-8.8690E-009,1521.330000,-8.8690E-009,1521.330000,-8.8690E-009,1521.330000,-8.8690E-009,1521.330000,-8.8690E-009,1521.330000,-8.8690E-009
1521.490000,5.3820E-009,1521.490000,5.3820E-009,1521.490000,5.3820E-009,1521.490000,5.3820E-009,1521.490000,5.3820E-009,1521.490000,5.3820E-009,1521.490000,5.3820E-009,1521.490000,5.3820E-009,1521.490000,5.3820E-009,1521.490000,5.3820E-009
1521.650000,5.0230E-009,1521.650000,5.0230E-009,1521.650000,5.0230E-009,1521.650000,5.0230E-009,1521.650000,5.0230E-009,1521.650000,5.0230E-009,1521.650000,5.0230E-009,1521.650000,5.0230E-009,1521.650000,5.0230E-009,1521.650000,5.0230E-009
1521.810000,-1.2650E-008,1521.810000,-1.2650E-008,1521.810000,-1.2650E-008,1521.810000,-1.2650E-008,1521.810000,-1.2650E-008,1521.810000,-1.2650E-008,1521.810000,-1.2650E-008,1521.810000,-1.2650E-008,1521.810000,-1.2650E-008,1521.810000,-1.2650E-008
1521.970000,7.3120E-009,1521.970000,7.3120E-009,1521.970000,7.3120E-009,1521.970000,7.3120E-009,1521.970000,7.3120E-009,1521.970000,7.3120E-009,1521.970000,7.3120E-009,1521.970000,7.3120E-009,1521.970000,7.3120E-009,1521.970000,7.3120E-009
1522.130000,-1.7050E-008,1522.130000,-1.7050E-008,1522.130000,-1.7050E-008,1522.130000,-1.7050E-008,1522.130000,-1.7050E-008,1522.130000,-1.7050E-008,1522.130000,-1.7050E-008,1522.130000,-1.7050E-008,1522.130000,-1.7050E-008,1522.130000,-1.7050E-008
1522.290000,-2.6570E-009,1522.290000,-2.6570E-009,1522.290000,-2.6570E-009,1522.290000,-2.6570E-009,1522.290000,-2.6570E-009,1522.290000,-2.6570E-009,1522.290000,-2.6570E-009,1522.290000,-2.6570E-009,1522.290000,-2.6570E-009,1522.290000,-2.6570E-009
1522.450000,2.5770E-008,1522.450000,2.5770E-008,1522.450000,2.5770E-008,1522.450000,2.5770E-008,1522.450000,2.5770E-008,1522.450000,2.5770E-008,1522.450000,2.5770E-008,1522.450000,2.5770E-008,1522.450000,2.5770E-008,1522.450000,2.5770E-008
1522.610000,-7.4370E-009,1522.610000,-7.4370E-009,1522.610000,-7.4370E-009,1522.610000,-7.4370E-009,1522.610000,-7.4370E-009,1522.610000,-7.4370E-009,1522.610000,-7.4370E-009,1522.610000,-7.4370E-009,1522.610000,-7.4370E-009,1522.610000,-7.4370E-009
1522.770000,7.5330E-009,1522.770000,7.5330E-009,1522.770000,7.5330E-009,1522.770000,7.5330E-009,1522.770000,7.5330E-009,1522.770000,7.5330E-009,1522.770000,7.5330E-009,1522.770000,7.5330E-009,1522.770000,7.5330E-009,1522.770000,7.5330E-009
1522.930000,-2.5260E-008,1522.930000,-2.5260E-008,1522.930000,-2.5260E-008,1522.930000,-2.5260E-008,1522.930000,-2.5260E-008,1522.930000,-2.5260E-008,1522.930000,-2.5260E-008,1522.930000,-2.5260E-008,1522.930000,-2.5260E-008,1522.930000,-2.5260E-008
1523.090000,-1.1280E-008,1523.090000,-1.1280E-008,1523.090000,-1.1280E-008,1523.090000,-1.1280E-008,1523.090000,-1.1280E-008,1523.090000,-1.1280E-008,1523.090000,-1.1280E-008,1523.090000,-1.1280E-008,1523.090000,-1.1280E-008,1523.090000,-1.1280E-008
1523.250000,-6.1250E-009,1523.250000,-6.1250E-009,1523.250000,-6.1250E-009,1523.250000,-6.1250E-009,1523.250000,-6.1250E-009,1523.250000,-6.1250E-009,1523.250000,-6.1250E-009,1523.250000,-6.1250E-009,1523.250000,-6.1250E-009,1523.250000,-6.1250E-009
1523.410000,1.2780E-008,1523.410000,1.2780E-008,1523.410000,1.2780E-008,1523.410000,1.2780E-008,1523.410000,1.2780E-008,1523.410000,1.2780E-008,1523.410000,1.2780E-008,1523.410000,1.2780E-008,1523.410000,1.2780E-008,1523.410000,1.2780E-008
1523.570000,-1.4900E-008,1523.570000,-1.4900E-008,1523.570000,-1.4900E-008,1523.570000,-1.4900E-008,1523.570000,-1.4900E-008,1523.570000,-1.4900E-008,1523.570000,-1.4900E-008,1523.570000,-1.4900E-008,1523.570000,-1.4900E-008,1523.570000,-1.4900E-008
1523.730000,1.8690E-009,1523.730000,1.8690E-009,1523.730000,1.8690E-009,1523.730000,1.8690E-009,1523.730000,1.8690E-009,1523.730000,1.8690E-009,1523.730000,1.8690E-009,1523.730000,1.8690E-009,1523.730000,1.8690E-009,1523.730000,1.8690E-009
1523.890000,-1.4100E-008,1523.890000,-1.4100E-008,1523.890000,-1.4100E-008,1523.890000,-1.4100E-008,1523.890000,-1.4100E-008,1523.890000,-1.4100E-008,1523.890000,-1.4100E-008,1523.890000,-1.4100E-008,1523.890000,-1.4100E-008,1523.890000,-1.4100E-008
1524.050000,3.1510E-009,1524.050000,3.1510E-009,1524.050000,3.1510E-009,1524.050000,3.1510E-009,1524.050000,3.1510E-009,1524.050000,3.1510E-009,1524.050000,3.1510E-009,1524.050000,3.1510E-009,1524.050000,3.1510E-009,1524.050000,3.1510E-009
1524.210000,-3.6610E-009,1524.210000,-3.6610E-009,1524.210000,-3.6610E-009,1524.210000,-3.6610E-009,1524.210000,-3.6610E-009,1524.210000,-3.6610E-009,1524.210000,-3.6610E-009,1524.210000,-3.6610E-009,1524.210000,-3.6610E-009,1524.210000,-3.6610E-009
1524.370000,-7.1370E-009,1524.370000,-7.1370E-009,1524.370000,-7.1370E-009,1524.370000,-7.1370E-009,1524.370000,-7.1370E-009,1524.370000,-7.1370E-009,1524.370000,-7.1370E-009,1524.370000,-7.1370E-009,1524.370000,-7.1370E-009,1524.370000,-7.1370E-009
1524.530000,-8.2760E-009,1524.530000,-8.2760E-009,1524.530000,-8.2760E-009,1524.530000,-8.2760E-009,1524.530000,-8.2760E-009,1524.530000,-8.2760E-009,1524.530000,-8.2760E-009,1524.530000,-8.2760E-009,1524.530000,-8.2760E-009,1524.530000,-8.2760E-009
1524.690000,-2.0620E-009,1524.690000,-2.0620E-009,1524.690000,-2.0620E-009,1524.690000,-2.0620E-009,1524.690000,-2.0620E-009,1524.690000,-2.0620E-009,1524.690000,-2.0620E-009,1524.690000,-2.0620E-009,1524.690000,-2.0620E-009,1524.690000,-2.0620E-009
1524.850000,-1.4080E-008,1524.850000,-1.4080E-008,1524.850000,-1.4080E-008,1524.850000,-1.4080E-008,1524.850000,-1.4080E-008,1524.850000,-1.4080E-008,1524.850000,-1.4080E-008,1524.850000,-1.4080E-008,1524.850000,-1.4080E-008,1524.850000,-1.4080E-008
1525.010000,2.0610E-010,1525.010000,2.0610E-010,1525.010000,2.0610E-010,1525.010000,2.0610E-010,1525.010000,2.0610E-010,1525.010000,2.0610E-010,1525.010000,2.0610E-010,1525.010000,2.0610E-010,1525.010000,2.0610E-010,1525.010000,2.0610E-010
1525.170000,-9.3750E-009,1525.170000,-9.3750E-009,1525.170000,-9.3750E-009,1525.170000,-9.3750E-009,1525.170000,-9.3750E-009,1525.170000,-9.3750E-009,1525.170000,-9.3750E-009,1525.170000,-9.3750E-009,1525.170000,-9.3750E-009,1525.170000,-9.3750E-009
1525.330000,3.5900E-009,1525.330000,3.5900E-009,1525.330000,3.5900E-009,1525.330000,3.5900E-009,1525.330000,3.5900E-009,1525.330000,3.5900E-009,1525.330000,3.5900E-009,1525.330000,3.5900E-009,1525.330000,3.5900E-009,1525.330000,3.5900E-009
1525.490000,3.1660E-008,1525.490000,3.1660E-008,1525.490000,3.1660E-008,1525.490000,3.1660E-008,1525.490000,3.1660E-008,1525.490000,3.1660E-008,1525.490000,3.1660E-008,1525.490000,3.1660E-008,1525.490000,3.1660E-008,1525.490000,3.1660E-008
1525.650000,5.2900E-009,1525.650000,5.2900E-009,1525.650000,5.2900E-009,1525.650000,5.2900E-009,1525.650000,5.2900E-009,1525.650000,5.2900E-009,1525.650000,5.2900E-009,1525.650000,5.2900E-009,1525.650000,5.2900E-009,1525.650000,5.2900E-009
1525.810000,-5.5060E-009,1525.810000,-5.5060E-009,1525.810000,-5.5060E-009,1525.810000,-5.5060E-009,1525.810000,-5.5060E-009,1525.810000,-5.5060E-009,1525.810000,-5.5060E-009,1525.810000,-5.5060E-009,1525.810000,-5.5060E-009,1525.810000,-5.5060E-009
1525.970000,-9.8440E-009,1525.970000,-9.8440E-009,1525.970000,-9.8440E-009,1525.970000,-9.8440E-009,1525.970000,-9.8440E-009,1525.970000,-9.8440E-009,1525.970000,-9.8440E-009,1525.970000,-9.8440E-009,1525.970000,-9.8440E-009,1525.970000,-9.8440E-009
