Frequency
Unit:(mV)
CH1
-8.43
-8.64
-5.82
-1.02
4.60
10.03
14.52
17.71
19.56
20.23
20.10
19.54
19.13
19.35
20.39
21.97
23.84
26.05
28.78
32.12
35.90
39.49
41.67
41.11
36.98
29.41
19.38
8.42
-1.68
-9.29
-13.25
-13.23
-10.02
-5.02
0.36
5.34
9.45
12.34
13.85
14.14
13.74
13.18
12.82
12.84
13.40
14.76
16.93
19.61
22.23
24.26
25.45
25.84
25.43
24.53
24.08
25.62
30.21
37.57
46.29
54.26
59.39
60.06
55.43
45.86
32.90
19.11
7.06
-1.68
-6.52
-7.68
-5.65
-1.35
4.02
9.32
13.75
17.01
19.06
19.96
19.87
19.14
18.48
18.48
19.16
20.34
21.92
24.15
27.26
31.19
35.54
39.52
42.11
42.25
39.06
32.27
22.50
11.42
0.98
-7.21
-12.17
-13.63
-11.97
-8.07
-3.03
2.10
6.53
9.81
11.83
12.71
12.73
12.30
12.00
12.26
13.24
14.87
16.97
19.40
21.90
24.20
26.03
27.14
27.28
26.73
26.47
27.74
31.53
38.11
46.64
54.88
60.12
60.25
54.84
44.74
31.73
18.08
6.07
-2.56
-6.97
-7.36
-4.69
-0.21
5.11
10.45
15.02
18.31
20.13
20.78
20.63
20.22
19.97
20.11
20.63
21.49
22.74
24.53
27.03
30.32
34.17
37.91
40.51
40.83
37.99
31.65
22.37
11.47
0.72
-7.99
-13.28
-14.74
-12.85
-8.61
-3.01
2.90
8.16
12.07
14.35
15.18
14.93
14.17
13.44
13.13
13.43
14.38
16.00
18.22
20.79
23.42
25.72
27.05
27.06
26.13
25.53
26.69
30.55
37.17
45.50
53.57
59.08
60.18
55.97
46.83
34.39
20.97
8.78
-0.49
-5.94
-7.39
-5.48
-1.34
3.76
8.69
12.79
15.74
17.59
18.59
19.03
19.18
19.23
19.50
20.28
21.68
23.51
25.65
28.19
31.26
34.79
38.41
41.33
42.20
39.78
33.53
24.14
13.09
2.16
-6.92
-12.88
-15.18
-14.08
-10.30
-4.89
0.96
6.15
9.94
12.12
12.88
12.70
12.13
11.67
11.63
12.21
13.46
15.43
18.00
20.97
23.98
26.50
27.88
27.89
27.01
26.29
27.09
30.68
37.46
46.28
54.87
60.74
62.08
58.00
48.68
35.45
20.58
6.83
-3.45
-9.15
-10.33
-7.89
-2.98
3.09
9.04
13.93
17.38
19.61
21.01
21.64
21.43
20.59
20.02
20.49
21.87
23.67
25.64
28.11
31.38
35.35
39.43
42.57
43.45
40.96
34.73
25.26
13.87
2.48
-6.96
-13.13
-15.45
-14.18
-10.07
-4.33
1.68
6.80
10.39
12.49
13.44
13.67
13.54
13.38
13.50
14.12
15.40
17.38
19.89
22.58
24.95
26.61
27.31
27.04
25.92
24.60
24.63
27.51
33.81
42.56
51.75
58.93
61.85
59.25
51.33
39.52
25.88
12.69
1.99
-4.68
-6.83
-5.20
-1.26
3.55
8.48
13.06
16.65
18.76
19.38
19.26
19.14
19.16
19.16
19.16
19.73
21.44
24.09
27.20
30.49
34.25
38.45
41.95
43.20
41.02
35.39
26.99
16.76
5.98
-3.78
-10.85
-14.13
-13.59
-10.07
-4.82
1.04
6.48
10.70
13.31
14.38
14.46
14.16
13.80
13.53
13.49
14.12
15.68
18.01
20.69
23.20
25.23
26.56
26.85
26.11
25.06
25.22
27.97
33.89
42.43
51.84
59.52
62.93
60.63
52.58
40.16
25.80
12.19
1.42
-5.38
-8.05
-7.07
-3.49
1.55
7.04
12.11
16.07
18.54
19.71
20.02
19.93
19.95
20.32
20.99
21.83
22.84
24.33
26.69
29.96
33.84
37.76
41.03
42.70
41.56
36.75
28.24
17.20
5.48
-4.81
-11.85
-14.71
-13.57
-9.46
-3.71
2.35
7.60
11.36
13.42
13.95
13.36
12.24
11.33
11.13
11.80
13.22
15.21
17.73
20.64
23.62
26.23
28.04
28.78
28.58
28.04
28.12
29.93
34.49
41.88
50.43
57.56
60.81
58.86
51.63
40.26
26.80
13.64
2.85
-4.25
-7.30
-6.78
-3.67
1.12
6.65
11.92
16.17
19.02
20.58
